HV ratio,Scheduled,Unscheduled,ScheduledCAV,ScheduledHV,UnscheduledCAV,UnscheduledHV
0.0,0.05609284332688588,0.05609284332688588,0.05609284332688588,0.0,0.05609284332688588,0.0
0.1,40.423809523809524,55.897619047619045,42.435763888888886,25.583333333333332,56.61284722222222,50.5
0.2,66.75836192109777,68.55981989708405,69.38461538461539,55.864285714285714,68.7051282051282,69.40714285714284
0.30000000000000004,52.62567567567568,64.49155405405405,54.9491341991342,44.53968253968254,62.98647186147186,69.75396825396825
0.4,46.28030303030303,59.72064393939394,44.09068627450981,44.8125,53.568627450980394,65.83333333333333
0.5,68.30091185410335,67.38601823708207,76.43666666666667,62.73616600790514,71.14666666666666,64.79545454545455
0.6000000000000001,55.31019036954088,67.2407614781635,66.06944444444444,47.90909090909091,68.61111111111111,66.16300940438872
0.7000000000000001,57.50815850815851,61.16783216783217,78.625,51.44516129032258,69.8125,58.81354838709677
0.8,59.253989361702125,69.44760638297872,71.48809523809524,55.7620320855615,64.32142857142857,70.54144385026737
0.9,62.153153153153156,67.44684684684685,70.35,61.52286585365854,68.8,67.6794969512195
1.0,65.81111793611794,65.81111793611794,0.0,65.81111793611794,0.0,65.81111793611794
